DELITO_DESAGREGACION,delitos_seguimiento_predicted,count(robos.NDD)
"ROBO A PERSONAS","ROBO A PERSONAS",254502
"ROBO A PERSONAS","OTROS ROBOS",123398
"ROBO DE MOTOS","ROBO DE MOTOS",58773
"ROBO A DOMICILIO","ROBO A DOMICILIO",58610
"ROBO A DOMICILIO","OTROS ROBOS",53274
"ROBO DE CARROS","ROBO DE CARROS",43506
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",36445
"ROBO DOMICILIOS","OTROS ROBOS",35020
"ROBO DOMICILIOS","ROBO A DOMICILIO",34765
NO_APLICA,"OTROS ROBOS",31561
"OTROS ROBOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",24084
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",23598
NO_APLICA,"ROBO A PERSONAS",21772
"ROBO DE CARROS","OTROS ROBOS",16835
"ROBO DE VEHÍCULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",15666
"ROBO DE MOTOS","OTROS ROBOS",15322
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","OTROS ROBOS",14920
"ROBO DE MOTOCICLETAS","ROBO DE MOTOS",13802
"ROBO DE ACCESORIOS DE VEHÍCULOS","OTROS ROBOS",13368
"ROBO A PERSONAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",12336
NO_APLICA,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",8716
"ROBO EN LOCALES COMERCIALES","OTROS ROBOS",8678
"ROBO A BIENES DE INSTITUCION PUBLICA","OTROS ROBOS",8483
"ROBO DE VEHÍCULOS","OTROS ROBOS",8380
"ROBO EN LOCALES COMERCIALES","ROBO A UNIDADES ECONOMICAS",8127
"OTROS ROBOS","ROBO A UNIDADES ECONOMICAS",8072
"ROBO A PERSONAS","ROBO A UNIDADES ECONOMICAS",8022
"OTROS ROBOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",7945
"ROBO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",7885
NO_APLICA,"ROBO A DOMICILIO",7743
"ROBO A PERSONAS","ROBO DE MOTOS",7474
"ROBO DE MOTOCICLETAS","OTROS ROBOS",6881
"ROBO OTROS","OTROS ROBOS",6136
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",6080
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",5757
NO_APLICA,"ROBO DE CARROS",5745
"ROBO A PERSONAS","ROBO A UNIDADES ECONOMICAS",5384
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A PERSONAS",5120
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A DOMICILIO",5043
"OTROS ROBOS","ROBO A PERSONAS",4795
NO_APLICA,"ROBO A UNIDADES ECONOMICAS",4163
"ROBO A PERSONAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",4088
