DELITO_DESAGREGACION,count(robos.NDD)
"ROBO A PERSONAS",419036
"ROBO A DOMICILIO",127168
NO_APLICA,83864
"ROBO DE MOTOS",76614
"ROBO DOMICILIOS",72933
"ROBO DE CARROS",66096
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",53912
"OTROS ROBOS",49775
"ROBO DE ACCESORIOS DE VEHÍCULOS",38040
"ROBO DE VEHÍCULOS",26684
"ROBO DE MOTOCICLETAS",20965
"ROBO EN LOCALES COMERCIALES",17896
"ROBO A BIENES DE UNIDADES ECONOMICAS",13901
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS",10870
"ROBO A BIENES DE INSTITUCION PUBLICA",10584
"ROBO OTROS",10572
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO",7172
"ROBO EN VÍAS O CARRETERAS",5297
"ROBO DE BIENES A EMPRESA/FABRICA",4666
"ROBO DE BIENES A ENTIDAD PÚBLICA",3025
"ROBO DE BIENES A INSTITUCION EDUCATIVA",2356
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES",2184
"ROBO A EMBARCACIONES",2177
"ROBO A BIENES DE INSTITUCIONES DE SALUD",1589
"ROBO A BIENES DE ENTIDADES FINANCIERAS",1418
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES",1072
"ROBO DE BIENES A ENTIDAD PRIVADA",962
"ROBO DE MOTORES EMBARCACIONES",961
"ROBO A BANCOS - ENTIDADES  FINANCIERAS",508
"HURTO A PERSONAS",217
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.",209
"HURTO A DOMICILIO",173
"HURTO A MOTOS",68
"HURTO A BIENES PUBLICOS",65
"HURTO A CARROS",62
"HURTO A ACCESORIOS",60
"HURTO A BIENES DE UNIDADES ECONOMICAS",20
TRANSITO,15
ABIGEATO,4
"HURTO A EMBARCACIONES O PARTES EN ESPACIOS ACUATICOS",3
"HURTO A BIENES PATRIMONIALES",3
"HURTO DE LO REQUISADO",1
"ROBO A BIENES PATRIMONIALES",1
"HURTO DE BIENES DE USO POLICIAL O MILITAR",1
